"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Gary Sanchez","Yankees","45","193","171","42","7","0","12","27","32","17","49","3","0","0","",".244",".319",".503",".822",".341","","111","-0.1","-1.3","","2.7","0.9","0.9","11442"
"Nathaniel Lowe","Rays","18","77","68","18","4","0","3","10","10","8","18","1","0","0","",".267",".344",".461",".805",".341","","115","0.1","0.0","","1.6","-1.6","0.3","19566"
"Adam Eaton","Nationals","54","244","212","61","11","2","4","33","23","24","41","4","5","2","",".286",".368",".419",".787",".340","","107","0.6","0.8","","2.8","-1.5","0.9","11205"
"David Peralta","Diamondbacks","53","232","208","58","12","1","8","29","30","19","48","2","1","0","",".278",".342",".469",".811",".340","","107","0.2","0.2","","2.2","-2.1","0.7","2136"
"Jorge Soler","Royals","57","240","211","53","12","0","12","30","34","24","67","3","1","0","",".250",".333",".475",".807",".340","","111","-0.2","-0.4","","3.1","-4.9","0.7","14221"
"Luke Voit","Yankees","54","237","206","53","9","1","10","33","32","25","58","3","0","0","",".256",".344",".457",".801",".340","","111","-0.2","-1.6","","3.1","-6.2","0.5","14811"
"Willson Contreras","Cubs","39","161","140","36","7","1","6","20","22","17","38","3","1","1","",".259",".346",".456",".802",".339","","108","-0.5","-0.1","","1.2","2.4","0.4","11609"
"Eloy Jimenez","White Sox","54","223","204","56","10","1","11","27","32","15","50","2","1","0","",".272",".324",".489",".813",".339","","113","0.2","-0.6","","3.9","-2.9","0.9","17484"
"Miguel Sano","Twins","54","225","196","47","9","1","12","30","33","26","80","1","0","0","",".238",".328",".480",".808",".338","","109","-0.5","-0.7","","2.1","-0.5","0.9","12164"
"Daniel Vogelbach","Mariners","53","227","191","46","8","0","10","28","30","32","53","1","0","0","",".240",".350",".441",".792",".338","","116","-0.2","0.3","","4.3","-4.5","0.8","14130"
"Jose Martinez","Cardinals","44","184","165","47","9","0","6","22","23","16","35","1","1","0","",".284",".349",".443",".792",".337","","109","-0.2","-1.4","","1.9","-2.8","0.5","7996"
"Javier Baez","Cubs","59","254","237","65","13","2","13","34","40","13","69","2","5","2","",".273",".313",".508",".822",".337","","107","0.9","-0.5","","3.1","1.9","1.3","12979"
"Ryan Braun","Brewers","45","191","172","46","10","1","9","25","28","14","40","2","4","1","",".266",".326",".482",".808",".337","","105","-0.4","-0.8","","0.9","-2.4","0.5","3410"
"Yonder Alonso","Rockies","4","16","14","4","1","0","1","2","2","2","3","0","0","0","",".264",".344",".453",".797",".337","","112","0.0","0.0","","0.2","-0.4","0.0","2530"
